acc,nmi,ari,ri
0.5605,0.35643015832649794,0.28049717568877497,0.7301356589147286
0.4705,0.19401874744332812,0.14870472501989254,0.6706177794448612
0.602,0.5288595121732926,0.3859649943127303,0.7684041010252564
0.58175,0.5129977347601195,0.3668163663812483,0.7624993748437109
0.593,0.5257191302055472,0.3797254328715943,0.7653470867716929
0.57875,0.5186256623354755,0.36779511462823344,0.7612296824206052
0.56175,0.4948208912717485,0.35652506028774084,0.7550757689422356
0.55125,0.48478548467370774,0.3445509075293506,0.7516197799449863
0.5525,0.46710906687202597,0.33883285297175497,0.7486870467616904
0.57975,0.5192486213600374,0.3690106929496439,0.7624489872468116
0.565,0.5128248246870349,0.3567698553832193,0.7578144536134034
0.57525,0.5235236761188705,0.3802186797426401,0.7604887471867967
0.56975,0.5148642940971209,0.3609624316332594,0.7574022255563891
0.61475,0.5512859212125989,0.41305582108972067,0.7723389597399349
0.57425,0.5161055879031073,0.36232979068491555,0.7592581895473869
0.5685,0.5236745233903536,0.37766905623710695,0.7573083270817704
0.68625,0.6039391102221471,0.5077984587057767,0.8150481370342586
0.74425,0.721072574652984,0.6515043864136603,0.8691511627906977
0.669,0.5902290230957096,0.4872155306114964,0.8059362340585147
0.6895,0.6049863656052011,0.5111932149841434,0.8165323830957739
0.662,0.5803560707246745,0.4735476897207705,0.8011842960740185
0.56875,0.5215687687033098,0.37360978378387666,0.7573994748687172
0.56875,0.5189667792919932,0.36887466335889424,0.7569101025256314
0.57275,0.518425186625171,0.3681841555368884,0.7595557639409852
0.68075,0.6082788275307124,0.5022313417496864,0.8114762440610153
0.75525,0.7458426611737903,0.6782981683008608,0.8790021255313828
0.76525,0.7604473394757574,0.6859665168305253,0.880342960740185
0.7565,0.7531825267840115,0.6804322629370145,0.8801460365091273
0.764,0.7588011536249111,0.6841987147497556,0.8807901975493874
0.7605,0.7523140129158358,0.6800016245663956,0.8799482370592648
0.75825,0.7520731786060413,0.679764039499406,0.8799088522130533
0.76375,0.7856735352008695,0.701044632070179,0.8807820705176294
0.76175,0.7558984873225514,0.6819726795168876,0.8807260565141285
0.75825,0.758034097947299,0.6834916904000452,0.8806665416354088
0.765,0.7641397876167921,0.6879888959427443,0.8808252063015753
0.761,0.7559693154236888,0.6819988613851393,0.8807091772943236
0.75975,0.7581600427484716,0.6836202222256003,0.880686046511628
0.76725,0.7617973313529869,0.6865035080901837,0.8809186046511628
0.76275,0.7585926505056048,0.6839943330698611,0.8807520630157539
0.75975,0.755767371078911,0.68181550698909,0.880686046511628
0.75825,0.761685707626177,0.6861333245326375,0.8806665416354088
0.7605,0.7559974665730321,0.6820046293131176,0.8806991747936984
0.76175,0.7559077735659783,0.6819794647839041,0.8807260565141285
0.763,0.7566258944694195,0.6825606824124074,0.8807591897974494
0.76225,0.7563423761893728,0.6823199236207074,0.88073855963991
0.7665,0.7609807021757565,0.6858862013734888,0.8808852213053263
0.7665,0.7611351292077938,0.6859947020829109,0.8808852213053263
0.7585,0.7577635177335733,0.6832959051494735,0.880669167291823
0.7585,0.7580112644712993,0.6834797085601735,0.880669167291823
0.75825,0.7579326266584209,0.6834165216876363,0.8806665416354088
0.76675,0.7609618220193478,0.6858880111839931,0.8808960990247562
0.8275,0.6443184137512099,0.6323259006089937,0.8614662415603901
0.98375,0.9504978566100133,0.9585088774415012,0.9844267316829207
0.99975,0.9985708922657761,0.9993235080292013,0.9997463115778945
